;x;Type
1;kalmthout;Centrum
2;Sterrebos;Bos
3;Essen;Centrum
4;Bos Horendonk;Bos
5;Weidecomplex Kalmthout-Zuid;Weidecomplex
6;Wilderset Duintjes;Bos
7;Gooreind;Centrum
8;Horendonk;Centrum
9;De Belder;Bos
10;Weidecomplex Hopmeer & Wouwse Plantahe;Weidecomplex
11;Klein Schietveld;Natura 2000
12;Weidecomplex Marijnnevennen;Weidecomplex
13;Weidecomplex Hoek-Noord;Weidecomplex
14;Heidecomplex Essen-Wildert-Nieuwmoer;Weidecomplex
15;Grenspark;Natura 2000
16;Heide;Centrum
17;De Maatjes;Natura 2000
18;Achterbroek;Centrum
19;Weidecomplex kalmthout-Noord;Weidecomplex
20;Hoek;Centrum
21;Wuustwezel;Centrum
22;Weidecomplex Wezelse Heide;Weidecomplex
23;Weidecomplex Horendonk;Weidecomplex
24;De Rijkmaker;Industriezone
25;Wildert;Centrum
26;Weekendzone Wildert;Bos
27;Weidecmplex Hoek-Zuid;Weidecomplex
28;De Bosduin;Industriezone
29;Heikant;Centrum
30;Wildert;Centrum
